"活着主演：葛优,巩俐,牛犇（bēn）1994-05-17(法国)9.0
"钢琴家主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基2002-05-24(法国)8.8
"勇敢的心主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉1995-05-18(美国)8.8
"阿飞正传主演：张国荣,张曼玉,刘德华2018-06-258.8
"射雕英雄传之东成西就主演：张国荣,梁朝伟,张学友1993-02-05(中国香港)8.8
"爱·回家主演：俞承豪,金艺芬,童孝熙2002-04-05(韩国)9.0
"初恋这件小事主演：马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考2012-06-058.8
"泰坦尼克号主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩1998-04-039.4
"迁徙的鸟主演：雅克·贝汉,Philippe Labro2001-12-12(法国)9.0
"蝙蝠侠：黑暗骑士主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特2008-07-14(阿根廷)9.3
"恐怖直播主演：河正宇,李璟荣,李大卫2013-07-31(韩国)8.8
"我爱你主演：宋在浩,李顺才,尹秀晶2011-02-17(韩国)9.0
"大闹天宫主演：邱岳峰,毕克,富润生1965-12-319.0
"剪刀手爱德华主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·威斯特1990-12-06(美国)8.8
"甜蜜蜜主演：黎明,张曼玉,杜可风2015-02-139.2
"闻香识女人主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔1992-12-23(美国)8.8
"英雄本色主演：狄龙,张国荣,周润发2017-11-179.2
"三傻大闹宝莱坞主演：阿米尔·汗,黄渤,卡琳娜·卡普2011-12-089.1
"黑客帝国3：矩阵革命主演：基努·里维斯,雨果·维文,凯瑞-安·莫斯2003-11-058.8
"触不可及主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼2011-11-02(法国)9.1
"忠犬八公物语主演：仲代达矢,春川真澄,井川比佐志1987-08-01(日本)9.0
"辩护人主演：宋康昊,郭度沅,吴达洙2013-12-18(韩国)8.8
"喜剧之王主演：周星驰,莫文蔚,张柏芝1999-02-13(中国香港)9.1
"黄金三镖客主演：克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫1966-12-23(意大利)8.9
"这个杀手不太冷主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼1994-09-14(法国)9.5
"借东西的小人阿莉埃蒂主演：志田未来,神木隆之介,大竹忍2010-07-17(日本)8.8
"大话西游之月光宝盒主演：周星驰,莫文蔚,吴孟达2014-10-249.6
"一一主演：吴念真,金燕玲,李凯莉2017-07-28(中国台湾)8.9
"窃听风暴主演：乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克2006-03-23(德国)9.0
"楚门的世界主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇1998(罗马尼亚)8.9
"飞屋环游记主演：爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森2009-08-048.9
"哈尔的移动城堡主演：倍赏千惠子,木村拓哉,美轮明宏2004-09-05(意大利)8.9
"上帝之城主演：亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺2002-05-18(戛纳电影节)8.9
"美丽心灵主演：罗素·克劳,詹妮弗·康纳利,艾德·哈里斯2001-12-13(美国)8.8
"肖申克的救赎主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿1994-09-10(加拿大)9.5
"美丽人生主演：罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼2020-01-039.3
"倩女幽魂主演：张国荣,王祖贤,午马2011-04-309.1
"搏击俱乐部主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特1999-09-10(意大利)8.8
